PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 8737, 451627, 3946111968
1, 6346, 575577, 3652650047
2, 6707, 523221, 3509757609
3, 7047, 530724, 3740279496
4, 7539, 464279, 3500205042
5, 10568, 354767, 3749350692
6, 9767, 389096, 3800564922
7, 6443, 574773, 3703710202
8, 7447, 525135, 3910926990
9, 8794, 484346, 4259555206
10, 6821, 502588, 3428614143
11, 9798, 402019, 3938984910
12, 9357, 397528, 3720024896
13, 8589, 470646, 4042753789
14, 8960, 410117, 3675020388
15, 9041, 431443, 3900712581
16, 12063, 357683, 4314973895
17, 9319, 405651, 3780328081
18, 8473, 497704, 4217076079
19, 8537, 409977, 3500333030
20, 7877, 433553, 3415435759
21, 7951, 485939, 3864098041
22, 9038, 396457, 3583452097
23, 7998, 421365, 3370453321
24, 6318, 477839, 3019122198
25, 6819, 506032, 3450739373
26, 6863, 457361, 3139191589
27, 8159, 402509, 3284303306
28, 7441, 421946, 3139845167
29, 9942, 363593, 3615056936
30, 9372, 332370, 3115002070
31, 11598, 311148, 3608989570
32, 11264, 368158, 4147257726
33, 11377, 361499, 4112788025
34, 6836, 505926, 3458748831
35, 8385, 441016, 3697996676
36, 9294, 328926, 3057260825
37, 11355, 295491, 3355549861
38, 8484, 386234, 3276809889
39, 7195, 400219, 2879587112
40, 7547, 449824, 3395227105
41, 7571, 432718, 3276311487
42, 6799, 448473, 3049445414
43, 7187, 465625, 3346486904
44, 7991, 431052, 3444866942
45, 6983, 445127, 3108412350
46, 10850, 333915, 3623135631
47, 14776, 265424, 3922061723
48, 9357, 292062, 2733062077
49, 9626, 357316, 3439838489
50, 7034, 426327, 2998956406
51, 7018, 467009, 3277705636
52, 7833, 367493, 2878701745
53, 8601, 381200, 3278779525
54, 6558, 441554, 2896143560
55, 6552, 440503, 2886287351
56, 6648, 432283, 2874015515
57, 8345, 399950, 3337909419
58, 10333, 313827, 3243001789
59, 9867, 337550, 3330638579
60, 8570, 375608, 3219087153
61, 12049, 271110, 3266664260
62, 9059, 344604, 3121839275
63, 6580, 406816, 2676987055
64, 7225, 396711, 2866443256
65, 5517, 486511, 2684218504
66, 11377, 273072, 3106823224
67, 15879, 196577, 3121470543
68, 14490, 214877, 3113635771
69, 6458, 432657, 2794334931
70, 7037, 444661, 3129302214
71, 6578, 458456, 3015771273
72, 7544, 436618, 3294272451
73, 7380, 400879, 2958702369
74, 7687, 391405, 3008730646
75, 7017, 367540, 2579097923
76, 7729, 381593, 2949470983
77, 8184, 371308, 3038839900
78, 8653, 376115, 3254661729
79, 7304, 380701, 2780972248
80, 7777, 399088, 3104050206
81, 7449, 407935, 3039053292
82, 7504, 397433, 2982727899
83, 11034, 268272, 2960243209
84, 14703, 193557, 2845946521
85, 16834, 168450, 2835748380
86, 7469, 274593, 2051150539
87, 10138, 256756, 2603207380
88, 9104, 253042, 2303929157
89, 9475, 288034, 2729152257
90, 9152, 306044, 2801034842
91, 13174, 212584, 2800681798
92, 11242, 250275, 2813752265
93, 11754, 229437, 2696862862
94, 14088, 226595, 3192345387
95, 14047, 184489, 2591517541
96, 21490, 129490, 2782844622
97, 15526, 168091, 2609818304
98, 22494, 140327, 3156553798
99, 11460, 257269, 2948360128
0, 9551, 397081, 3792811187
1, 8665, 401890, 3482513035
2, 11545, 351294, 4055831952
3, 10327, 355529, 3671558369
4, 11328, 376418, 4264399430
5, 10648, 358913, 3821940896
6, 11181, 336555, 3763347999
7, 13095, 304280, 3984831121
8, 11072, 353038, 3908897759
9, 9595, 423732, 4065870735
10, 7631, 489613, 3736329870
11, 9746, 360305, 3511638969
12, 11129, 379988, 4229105023
13, 11162, 361618, 4036597255
14, 9732, 372047, 3620918131
15, 10493, 377050, 3956458504
16, 7988, 456332, 3645289812
17, 9483, 394869, 3744905384
18, 12225, 334540, 4089956491
19, 8560, 392554, 3360603004
20, 10002, 392323, 3924069843
21, 9658, 394871, 3814008265
22, 7503, 508055, 3812096263
23, 7437, 528930, 3933654207
24, 6040, 559867, 3381890480
25, 11224, 301391, 3383037516
26, 10878, 331408, 3605267739
27, 9999, 356935, 3569306756
28, 9862, 352926, 3480872274
29, 6684, 437383, 2923796988
30, 12147, 277571, 3371820519
31, 10737, 363067, 3898501469
32, 7125, 414748, 2955482119
33, 7765, 428026, 3323899025
34, 9827, 365486, 3591665719
35, 13761, 283300, 3898583228
36, 12204, 281880, 3440256401
37, 13015, 280018, 3644673315
38, 8108, 377159, 3058269798
39, 12184, 345435, 4209028457
40, 9809, 383468, 3761530735
41, 11297, 320907, 3625359154
42, 8231, 349413, 2876252865
43, 9433, 371921, 3508519527
44, 10516, 322232, 3388739712
45, 14018, 250641, 3513556475
46, 13600, 240298, 3268148674
47, 12713, 263351, 3348227291
48, 9713, 314426, 3054204284
49, 8186, 387958, 3176058044
50, 7331, 482562, 3537676895
51, 6291, 475725, 2992960085
52, 6228, 489558, 3049450227
53, 6287, 418048, 2628289304
54, 7764, 405225, 3146239370
55, 5693, 434853, 2475640134
56, 7509, 418529, 3142871967
57, 6629, 411600, 2728647535
58, 6431, 451544, 2904097809
59, 6964, 455132, 3169757061
60, 7075, 421027, 2979065560
61, 12518, 283921, 3554346019
62, 12331, 272582, 3361464484
63, 14179, 245753, 3484681798
64, 12110, 232960, 2821346678
65, 12623, 251026, 3168868626
66, 12980, 252071, 3272130249
67, 8994, 320002, 2878127485
68, 9738, 326766, 3182361007
69, 7580, 377887, 2864621182
70, 9388, 340550, 3197207505
71, 10860, 280801, 3049729507
72, 11408, 248434, 2834259965
73, 12912, 270762, 3496176272
74, 10248, 287393, 2945334484
75, 10612, 258582, 2744186121
76, 9996, 308984, 3088639913
77, 9296, 298429, 2774287192
78, 9960, 267868, 2668090516
79, 9573, 292749, 2802731337
80, 12903, 237868, 3069342281
81, 12313, 246673, 3037498075
82, 11279, 253307, 2857078134
83, 10332, 260787, 2694539269
84, 10642, 257276, 2738087137
85, 9469, 275485, 2608717442
86, 10494, 272065, 2855286823
87, 9350, 276399, 2584470351
88, 12646, 257048, 3250803255
89, 13889, 229746, 3191160788
90, 14813, 196472, 2910344436
91, 12113, 216922, 2627709336
92, 8084, 287418, 2323652589
93, 8419, 283470, 2386618766
94, 15049, 201518, 3032726639
95, 11433, 212294, 2427356696
96, 11969, 225319, 2697039868
97, 13758, 212885, 2928902094
98, 12678, 214357, 2717652669
99, 14400, 205126, 2953865075
0, 7937, 442595, 3513200609
1, 9143, 420931, 3848607820
2, 9486, 404142, 3833988656
3, 9036, 378218, 3417588107
4, 7168, 531657, 3811164794
5, 7714, 493602, 3808061246
6, 6086, 507190, 3087118525
7, 6467, 520993, 3369313381
8, 8322, 467660, 3892115675
9, 8579, 414737, 3558228576
10, 5273, 596217, 3144188723
11, 5357, 667444, 3575801386
12, 6193, 552076, 3419185478
13, 10799, 355962, 3844179268
14, 9986, 327707, 3272522923
15, 8587, 420757, 3613207961
16, 6726, 469470, 3157689112
17, 7524, 529281, 3982712547
18, 9215, 447768, 4126400915
19, 7885, 509376, 4016913084
20, 7274, 478735, 3482712711
21, 5298, 547823, 2902413534
22, 6671, 453589, 3026025929
23, 9076, 377262, 3424339457
24, 8797, 418783, 3684076966
25, 8341, 443608, 3700142890
26, 6771, 465688, 3153380850
27, 7820, 503718, 3939178027
28, 8048, 446139, 3590901267
29, 10813, 316171, 3419041196
30, 10915, 334801, 3654564426
31, 10471, 311911, 3266030167
32, 13931, 232140, 3234093494
33, 11771, 272180, 3204088202
34, 10717, 253407, 2715894136
35, 10472, 306729, 3212245889
36, 7949, 412304, 3277667440
37, 6075, 479534, 2913312399
38, 6109, 516925, 3158274758
39, 7046, 468849, 3303630953
40, 7554, 481953, 3641089604
41, 7443, 469216, 3492639156
42, 8091, 369599, 2990760890
43, 7596, 390164, 2963918005
44, 6995, 473643, 3313520882
45, 9265, 393344, 3644388185
46, 8138, 389820, 3172440719
47, 7842, 442124, 3467220555
48, 6406, 437890, 2805488927
49, 6190, 471869, 2921220931
50, 5669, 487503, 2763928337
51, 8867, 433078, 3840228550
52, 6762, 431615, 2918984893
53, 10800, 297549, 3213753366
54, 7832, 371107, 2906844872
55, 6625, 444670, 2946290488
56, 7159, 439420, 3145919442
57, 10694, 324026, 3465335926
58, 10921, 271525, 2965402923
59, 13677, 233258, 3190337651
60, 12786, 269211, 3442198104
61, 13256, 235014, 3115530767
62, 16215, 223706, 3627496789
63, 8900, 322572, 2871123275
64, 7990, 393406, 3143422305
65, 8690, 365422, 3175688306
66, 9111, 372463, 3393773730
67, 8555, 350435, 2997998524
68, 8180, 334331, 2734897823
69, 8619, 338313, 2916111830
70, 11137, 273557, 3046811782
71, 7927, 304461, 2413469630
72, 9494, 362203, 3439081727
73, 8345, 342373, 2857239069
74, 8478, 341146, 2892273019
75, 8809, 338900, 2985542979
76, 7790, 349000, 2718779212
77, 9211, 324571, 2989894302
78, 7925, 378557, 3000397567
79, 6581, 369056, 2428774380
80, 9774, 315666, 3085467216
81, 9341, 286811, 2679370521
82, 9903, 290245, 2874401652
83, 10630, 291328, 3096849795
84, 8005, 314760, 2519763883
85, 9351, 307189, 2872751160
86, 7875, 314019, 2473160265
87, 8690, 319337, 2775350908
88, 7735, 314054, 2429281582
89, 9571, 272530, 2608648754
90, 10259, 212089, 2175954639
91, 11095, 206631, 2292761991
92, 11817, 250121, 2955875824
93, 8170, 246698, 2015717980
94, 10417, 260356, 2712162828
95, 8070, 301132, 2430434845
96, 11587, 232953, 2699436836
97, 7920, 287168, 2274517916
98, 8902, 267183, 2378546895
99, 9871, 276156, 2726126639
