PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 322, 12176579, 3927446653
1, 297, 12327367, 3661745065
2, 304, 11868590, 3618129529
3, 310, 12193294, 3787283600
4, 335, 11184971, 3748774140
5, 342, 11385537, 3901067843
6, 309, 11977131, 3712200106
7, 317, 12045496, 3826983357
8, 310, 12063025, 3751271339
9, 312, 12226238, 3826741825
0, 296, 12293290, 3644748077
1, 281, 12833070, 3609520377
2, 309, 11702741, 3616431054
3, 279, 13054482, 3647226185
4, 306, 12265317, 3753192146
5, 319, 11619528, 3711664977
6, 318, 11816384, 3762290022
7, 291, 12659533, 3695642962
8, 304, 12325273, 3754508675
9, 317, 12015621, 3812226496
0, 342, 11376054, 3898010822
1, 316, 12531730, 3971567152
2, 323, 11845549, 3832652743
3, 310, 12455246, 3864573987
4, 308, 11665579, 3598224063
5, 306, 12266924, 3754840596
6, 298, 12534570, 3741467392
7, 340, 11565589, 3934824133
8, 305, 12401230, 3794119287
9, 302, 12713144, 3851509951
