PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 1891, 2933271, 5549090032
1, 2489, 2300730, 5727393326
2, 2621, 2072241, 5431491825
3, 3591, 1703098, 6116609751
4, 2302, 2367913, 5451482129
5, 3045, 1922445, 5854391057
6, 2455, 2240390, 5500436089
7, 3238, 1887823, 6113399613
8, 1278, 4324348, 5529808249
9, 3366, 1735130, 5841047838
10, 2785, 2167654, 6037098435
11, 2761, 2017333, 5570414641
12, 3174, 1851815, 5878607691
13, 2763, 2134916, 5898974191
14, 2008, 2620834, 5263064976
15, 3287, 1811142, 5954882669
16, 2016, 2640227, 5324563332
17, 2094, 2924529, 6125498489
18, 2977, 1943932, 5788869336
19, 2763, 1823887, 5041001551
20, 4235, 1395702, 5911147809
21, 1882, 3013400, 5671509149
22, 3592, 1613714, 5797153368
23, 2331, 2258454, 5266600013
24, 2842, 1932964, 5494334333
25, 2070, 2390182, 4949818378
26, 3619, 1571115, 5686066281
27, 2901, 1862287, 5404272886
28, 3229, 1675245, 5409986326
29, 2914, 1890271, 5509092654
30, 2754, 2032801, 5599110012
31, 2640, 2066539, 5455993985
32, 1892, 2533744, 4795225011
33, 2824, 1704052, 4813263978
34, 2735, 2003219, 5480699519
35, 3149, 1641940, 5170491841
36, 3055, 1729092, 5283602464
37, 2163, 2346910, 5076693206
38, 2585, 2051860, 5304780205
39, 2755, 1937521, 5338017277
40, 2721, 1929216, 5250625426
41, 3239, 1692693, 5483242625
42, 3370, 1541157, 5194071646
43, 2985, 1831255, 5467226749
44, 2632, 1920186, 5055201421
45, 3045, 1661402, 5060408184
46, 2631, 2013492, 5297894692
47, 2936, 1794527, 5269522606
48, 2751, 1875389, 5160444984
49, 2457, 2081548, 5114509950
50, 3098, 1687436, 5228875921
51, 2728, 1893909, 5166842311
52, 3076, 1729223, 5319641578
53, 2396, 2164512, 5186510730
54, 3817, 1377246, 5257822644
55, 2158, 2273778, 4907698101
56, 3169, 1519645, 4816301937
57, 2630, 1826841, 4806327304
58, 2989, 1543617, 4614036696
59, 3242, 1557769, 5050577863
60, 4001, 1267920, 5074208437
61, 2329, 2170625, 5056360038
62, 3918, 1357133, 5317575990
63, 3184, 1563604, 4978556772
64, 2890, 1648945, 4766746354
65, 3613, 1426220, 5153155370
66, 3609, 1279449, 4617980937
67, 3248, 1402406, 4555422437
68, 3695, 1406445, 5197930482
69, 3160, 1567276, 4952818188
70, 3492, 1307505, 4567062886
71, 3194, 1380899, 4411200345
72, 2796, 1571770, 4394895398
73, 3305, 1403834, 4640692950
74, 2470, 1710913, 4226074487
75, 2650, 1553330, 4117750250
76, 3508, 1371475, 4811588439
77, 2782, 1611580, 4484180578
78, 3596, 1301958, 4682611158
79, 2768, 1538666, 4260535116
80, 2802, 1493952, 4186126635
81, 3770, 1157710, 4364791504
82, 3179, 1336494, 4248886662
83, 3071, 1326752, 4075010255
84, 2436, 1670243, 4068898919
85, 3068, 1433732, 4399121476
86, 3133, 1434263, 4494511620
87, 3517, 1217511, 4282848729
88, 4493, 976834, 4389874573
89, 4365, 996631, 4350747335
90, 2543, 1652064, 4201522065
91, 2456, 1496374, 3676034475
92, 2863, 1303474, 3732298462
93, 2437, 1540685, 3755159198
94, 3315, 1181467, 3916743078
95, 3644, 1191413, 4342382440
96, 2671, 1449817, 3872875392
97, 3961, 998271, 3954850770
98, 2345, 1482514, 3477178208
99, 4225, 994346, 4201501850
0, 3017, 2009137, 6061700929
1, 2688, 2215571, 5957207008
2, 2557, 2273062, 5813806544
3, 2649, 2183303, 5783609329
4, 2670, 2138101, 5709733449
5, 2198, 2682846, 5898911988
6, 3032, 1896494, 5751462228
