PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 1175, 2315578, 2722134626
1, 1104, 2307298, 2549121470
2, 1145, 2249285, 2576760429
3, 1221, 2180191, 2663560167
4, 1190, 2293870, 2731931437
5, 1137, 2316875, 2634627910
6, 1286, 2097986, 2698685211
7, 1098, 2348387, 2580239146
8, 1060, 2482776, 2633856736
9, 1015, 2583656, 2623060782
0, 1228, 2167083, 2661584413
1, 1408, 1870588, 2634652183
2, 1117, 2311966, 2582948917
3, 1145, 2253727, 2580886244
4, 1028, 2583280, 2655707100
5, 894, 2880918, 2578294098
6, 940, 2699988, 2539210803
7, 1023, 2555590, 2615023536
8, 1090, 2322047, 2531787926
9, 1172, 2331446, 2733890908
0, 1147, 2361179, 2709417978
1, 1405, 1888331, 2654465397
2, 1417, 1955235, 2772278158
3, 1290, 2160153, 2788328477
4, 1241, 2160890, 2683813277
5, 1295, 2100941, 2720928675
6, 1125, 2339582, 2632691883
7, 1265, 2208050, 2793982377
8, 1219, 2224888, 2712919162
9, 1186, 2320770, 2752473490
