PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 4988, 861682, 4298464894
1, 4888, 878812, 4296130889
2, 4692, 907011, 4255814334
3, 5212, 820479, 4277037543
4, 5175, 842527, 4360557485
5, 5493, 801501, 4403113144
6, 5226, 824682, 4310379566
7, 5544, 783162, 4342221487
8, 5574, 766830, 4274870930
9, 4679, 941312, 4405265437
10, 5141, 847369, 4357041123
11, 4698, 920601, 4325088651
12, 5407, 808825, 4373936096
13, 5700, 764543, 4358127597
14, 5245, 847392, 4445308036
15, 5327, 805815, 4293023423
16, 5403, 817533, 4417309615
17, 5304, 809085, 4291454342
18, 4840, 893764, 4326031589
19, 5159, 848521, 4377780197
20, 4731, 907548, 4293874542
21, 5374, 805385, 4328477812
22, 4757, 886470, 4217414891
23, 4962, 860331, 4268984116
24, 5377, 802744, 4317123473
0, 5643, 801975, 4525983028
1, 5189, 863858, 4483024169
2, 4475, 981579, 4392881063
3, 4937, 903249, 4459658301
4, 5209, 844655, 4400167926
5, 5047, 880966, 4447082174
6, 4446, 976417, 4341956180
7, 4993, 892527, 4456758741
8, 5450, 835490, 4553431357
9, 4632, 942887, 4368298686
10, 4518, 973667, 4399439262
11, 4567, 954162, 4358261098
12, 5115, 867573, 4438404109
13, 4782, 931752, 4456091488
14, 4750, 924791, 4393628683
15, 4764, 912551, 4348012286
16, 4486, 999513, 4484718531
17, 4781, 916563, 4382954313
18, 4889, 910089, 4449610473
19, 4410, 972699, 4289731514
20, 4807, 898651, 4319975060
21, 5134, 850609, 4367863160
22, 4637, 946666, 4390333521
23, 5273, 823996, 4345505956
24, 5247, 826344, 4336125188
0, 4678, 903504, 4227275696
1, 4610, 875245, 4034944842
2, 5038, 830883, 4186440996
3, 4617, 866876, 4003037926
4, 4823, 859337, 4145214675
5, 4218, 954664, 4027686972
6, 4259, 988749, 4211317733
7, 4847, 872406, 4229402436
8, 4611, 896870, 4135492089
9, 5348, 796139, 4258361213
10, 4872, 876973, 4272973875
11, 4497, 940294, 4228707777
12, 4594, 897077, 4121483221
13, 4799, 833260, 3998880271
14, 4709, 877024, 4130326411
15, 5148, 818644, 4214574458
16, 5101, 822385, 4195494472
17, 5513, 773866, 4266634432
18, 4932, 843597, 4161362004
19, 4933, 843017, 4158640353
20, 5005, 814989, 4079780639
21, 4856, 835232, 4056610340
22, 5128, 804616, 4126772116
23, 4974, 825338, 4105284401
24, 4946, 834343, 4127402772
