PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 413, 9045424, 3736079044
1, 350, 10698255, 3754278166
2, 238, 12874203, 3065188233
3, 235, 12991448, 3055795414
4, 283, 12031494, 3405469231
5, 259, 12375857, 3208085621
6, 282, 11950639, 3371868548
7, 275, 11784603, 3244900393
8, 294, 11171446, 3294067164
9, 298, 10981176, 3280590476
10, 258, 12202032, 3148789620
11, 295, 11046365, 3260573876
12, 264, 12253284, 3243572574
13, 265, 11753021, 3121126889
14, 292, 11025058, 3229375218
15, 287, 11540796, 3321027192
16, 280, 11589007, 3252152532
17, 264, 12026815, 3177944645
18, 257, 12199076, 3143894630
19, 255, 12249180, 3135515031
20, 269, 11405604, 3076774354
21, 256, 12661095, 3242204824
22, 281, 11563336, 3255573407
23, 291, 11165994, 3251954729
24, 194, 13792846, 2680623135
0, 339, 10577973, 3586099646
1, 371, 10557063, 3921364749
2, 317, 10778106, 3421240637
3, 265, 12008939, 3194356956
4, 306, 10790754, 3306117693
5, 324, 10752590, 3490545398
6, 298, 11292472, 3372546207
7, 313, 10427512, 3273134249
8, 318, 10831688, 3447369709
9, 316, 10207808, 3228493375
10, 294, 11097395, 3268680341
11, 323, 10255620, 3313353511
12, 340, 10080911, 3430240986
13, 321, 10715957, 3449286350
14, 324, 10151863, 3296778703
15, 296, 10788825, 3198802011
16, 274, 12117986, 3332196719
17, 267, 12083812, 3227057897
18, 250, 12799560, 3204912798
19, 258, 11875123, 3066081799
20, 265, 12112570, 3217467590
21, 276, 11955719, 3300326015
22, 285, 10948793, 3128911784
23, 283, 10913607, 3089111945
24, 190, 12911250, 2453323867
0, 347, 10269488, 3572778751
1, 353, 10683363, 3777466707
2, 261, 12187770, 3187038853
3, 254, 12588441, 3202928788
4, 270, 12315970, 3335161165
5, 257, 11859028, 3053761518
6, 253, 12528454, 3178371842
7, 257, 12306787, 3169955474
8, 320, 10657060, 3420231639
9, 284, 11210716, 3190375743
10, 309, 10423016, 3230345615
11, 313, 11100856, 3479082449
12, 298, 10873844, 3243668220
13, 296, 10723732, 3181106424
14, 223, 13260564, 2963293894
15, 260, 12472911, 3252569336
16, 277, 11882460, 3292874521
17, 251, 12114806, 3051139527
18, 231, 12977695, 3008948650
19, 248, 12619464, 3129962818
20, 260, 12563585, 3269780095
21, 246, 12522508, 3083781404
22, 297, 11272428, 3358846448
23, 263, 12378877, 3259420471
24, 197, 12400496, 2446047417
