PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 416, 9609826, 4005594772
1, 609, 6794498, 4142263330
2, 488, 8152764, 3984285332
3, 885, 4873925, 4313664337
4, 488, 8234154, 4022991499
5, 588, 7012593, 4124879038
6, 460, 8641309, 3978538425
7, 557, 7379094, 4111616469
8, 542, 7519126, 4076492580
9, 834, 5064685, 4228496910
0, 705, 5991126, 4226879857
1, 442, 9242901, 4087479631
2, 611, 6559548, 4009210274
3, 483, 8382803, 4051285697
4, 669, 6251453, 4185267936
5, 574, 7050127, 4052356439
6, 575, 7254426, 4172672957
7, 715, 5918161, 4233194475
8, 584, 6977778, 4081772119
9, 567, 7430422, 4218437797
0, 614, 6624974, 4069898403
1, 896, 4642006, 4161941210
2, 522, 7539219, 3935932315
3, 787, 5169144, 4069536521
4, 837, 4979563, 4170009837
5, 746, 5447157, 4067457433
6, 718, 5839763, 4197153067
7, 579, 6945375, 4026745447
8, 894, 4569126, 4087383784
9, 644, 6646102, 4285534811
