PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 3414, 901231, 3076842295
1, 3737, 858472, 3208185024
2, 3236, 975764, 3157731434
3, 3341, 956367, 3195623263
4, 3672, 878671, 3226498706
5, 4007, 818133, 3278601793
6, 3661, 835096, 3057594974
7, 3491, 898933, 3138642881
8, 3541, 902577, 3196196231
9, 3286, 958327, 3149657931
10, 3414, 940535, 3211383457
11, 2729, 1135510, 3099864147
12, 3462, 942616, 3263437938
13, 3258, 952512, 3103399881
14, 3804, 836079, 3181273323
15, 3708, 830244, 3079138413
16, 3166, 945953, 2995313483
17, 2646, 1136560, 3008258296
18, 2712, 1063462, 2884136079
19, 2673, 1078064, 2882363659
20, 2902, 971885, 2820996666
21, 3154, 962269, 3035361819
22, 2322, 1204711, 2798475293
23, 2323, 1258928, 2924795696
24, 2417, 1256046, 3036707282
0, 2190, 1288933, 2823644914
1, 2397, 1151709, 2761205087
2, 3240, 851315, 2758893389
3, 3593, 838866, 3014822451
4, 3616, 874995, 3164451155
5, 2940, 1007335, 2962568171
6, 3335, 884433, 2949602563
7, 3306, 953244, 3152268801
8, 3208, 932073, 2990692083
9, 2743, 1028347, 2821742686
10, 3539, 877894, 3107633053
11, 4891, 643478, 3147494196
12, 3820, 783369, 2993133528
13, 2897, 970778, 2812998755
14, 4297, 703801, 3024856932
15, 3436, 870800, 2992382582
16, 2668, 1095945, 2924868888
17, 2656, 1065356, 2830522745
18, 2943, 924927, 2722375272
19, 2991, 1017513, 3043723119
20, 4212, 716101, 3016269547
21, 3471, 862155, 2993353832
22, 3043, 937620, 2853797980
23, 3591, 820252, 2945623939
24, 2849, 953718, 2717748219
0, 2728, 1102586, 3008779486
1, 2971, 1003529, 2981845568
2, 3286, 931007, 3059817318
3, 2372, 1262487, 2995845807
4, 3285, 945708, 3107573649
5, 3215, 905133, 2910021589
6, 2535, 1170235, 2967659386
7, 3274, 999975, 3273971601
8, 3621, 866207, 3137074883
9, 3909, 840252, 3285029348
10, 3615, 875807, 3166472721
11, 2906, 997870, 2900603564
12, 2896, 1034250, 2995565022
13, 3256, 965214, 3142739753
14, 3346, 933143, 3123122336
15, 4423, 741910, 3281714009
16, 3725, 848654, 3161630645
17, 4763, 689963, 3286410950
18, 4236, 722228, 3059435998
19, 3623, 896538, 3248854827
20, 3759, 812083, 3052814969
21, 3777, 829504, 3133748609
22, 3115, 967200, 3013700115
23, 2885, 1067884, 3081512077
24, 2773, 1047784, 2906258807
